model_type,configuration,dataset,accuracy,precision,recall,f1,roc_auc,runtime,notes
GCN,"(512,)",Roman-empire,0.6636,0.6293,0.6636,0.6272,0.9166,17.160276412963867,Success
GCN,"(512, 256)",Roman-empire,0.6712,0.6546,0.6712,0.6368,0.9155,22.120041370391846,Success
GCN,"(512, 256, 128)",Roman-empire,0.65,0.6375,0.65,0.6179,0.9119,25.53917145729065,Success
GCN,"(512, 256, 128, 64)",Roman-empire,0.6043,0.5592,0.6043,0.5591,0.8835,30.21328353881836,Success
GAT,"(512,)",Roman-empire,0.758,0.7504,0.758,0.7526,0.9599,73.57634401321411,Success
GAT,"(512, 256)",Roman-empire,0.7621,0.7568,0.7621,0.7582,0.9594,113.04203510284424,Success
GAT,"(512, 256, 128)",Roman-empire,0.7716,0.7674,0.7716,0.7683,0.9594,126.06992650032043,Success
GAT,"(512, 256, 128, 64)",Roman-empire,0.7541,0.751,0.7541,0.7517,0.9567,143.57600831985474,Success
GCN,"(512,)",Amazon-ratings,0.4628,0.4453,0.4628,0.4232,0.692,24.66852879524231,Success
GCN,"(512, 256)",Amazon-ratings,0.4787,0.4431,0.4787,0.4554,0.7122,33.96542572975159,Success
GCN,"(512, 256, 128)",Amazon-ratings,0.4766,0.4673,0.4766,0.4553,0.7114,38.73618674278259,Success
GCN,"(512, 256, 128, 64)",Amazon-ratings,0.473,0.4402,0.473,0.4527,0.7087,44.95733976364136,Success
GAT,"(512,)",Amazon-ratings,0.5078,0.5017,0.5078,0.4998,0.7315,114.96303749084473,Success
GAT,"(512, 256)",Amazon-ratings,0.512,0.5064,0.512,0.5045,0.7405,171.49703311920166,Success
GAT,"(512, 256, 128)",Amazon-ratings,0.4909,0.4832,0.4909,0.4828,0.7311,193.70511031150818,Success
GAT,"(512, 256, 128, 64)",Amazon-ratings,0.4802,0.4671,0.4802,0.4672,0.7236,220.37000560760498,Success
GCN,"(512,)",Minesweeper,0.836,0.8232,0.836,0.8267,0.8808,11.725316047668457,Success
GCN,"(512, 256)",Minesweeper,0.856,0.8516,0.856,0.8535,0.9005,15.151238203048706,Success
GCN,"(512, 256, 128)",Minesweeper,0.8604,0.8566,0.8604,0.8582,0.9036,17.27201747894287,Success
GCN,"(512, 256, 128, 64)",Minesweeper,0.8564,0.8546,0.8564,0.8555,0.9016,20.464754343032837,Success
GAT,"(512,)",Minesweeper,0.8384,0.8265,0.8384,0.8299,0.8791,45.92084503173828,Success
GAT,"(512, 256)",Minesweeper,0.8496,0.8503,0.8496,0.8499,0.8958,70.53181314468384,Success
GAT,"(512, 256, 128)",Minesweeper,0.8704,0.8653,0.8704,0.8671,0.9173,79.45195293426514,Success
GAT,"(512, 256, 128, 64)",Minesweeper,0.8776,0.873,0.8776,0.8746,0.9258,89.624680519104,Success
GCN,"(512,)",Tolokers,0.7905,0.757,0.7905,0.7564,0.7996,67.3334903717041,Success
GCN,"(512, 256)",Tolokers,0.8092,0.7882,0.8092,0.7735,0.8321,90.24563217163086,Success
GCN,"(512, 256, 128)",Tolokers,0.816,0.7968,0.816,0.7891,0.8371,101.59136915206909,Success
GCN,"(512, 256, 128, 64)",Tolokers,0.817,0.7979,0.817,0.7945,0.8383,113.088387966156,Success
GAT,"(512,)",Tolokers,0.7874,0.7525,0.7874,0.7155,0.7854,904.284750699997,Success
GAT,"(512, 256)",Tolokers,0.782,0.7644,0.782,0.7707,0.8163,905.0594253540039,Success
GAT,"(512, 256, 128)",Tolokers,0.801,0.7749,0.801,0.7741,0.8162,902.9629814624786,Success
GAT,"(512, 256, 128, 64)",Tolokers,0.7816,0.6109,0.7816,0.6858,0.7017,922.8155727386475,Success
GCN,"(512,)",Questions,0.9702,0.9412,0.9702,0.9555,0.6894,41.436957359313965,Success
GCN,"(512, 256)",Questions,0.9704,0.9595,0.9704,0.9571,0.7212,57.784940004348755,Success
GCN,"(512, 256, 128)",Questions,0.9706,0.965,0.9706,0.9568,0.7296,64.8019323348999,Success
GCN,"(512, 256, 128, 64)",Questions,0.9703,0.9596,0.9703,0.9565,0.7219,73.94525194168091,Success
GAT,"(512,)",Questions,0.9707,0.9615,0.9707,0.9582,0.7366,199.5900526046753,Success
GAT,"(512, 256)",Questions,0.9706,0.9597,0.9706,0.9591,0.7708,299.8426556587219,Success
GAT,"(512, 256, 128)",Questions,0.9704,0.959,0.9704,0.9592,0.7726,334.996369600296,Success
GAT,"(512, 256, 128, 64)",Questions,0.9701,0.9578,0.9701,0.9591,0.7539,374.9013423919678,Success
GCN,"(64, 64, 64, 64, 64, 64, 64, 64, 64, 64)",Roman-empire,0.4396,0.4013,0.4396,0.3906,0.797,36.72006630897522,Success
GCN,"(64, 64, 64, 64, 64, 64, 64, 64, 64, 64)",Amazon-ratings,0.4563,0.3867,0.4563,0.4161,0.6782,43.62380242347717,Success
GCN,"(64, 64, 64, 64, 64, 64, 64, 64, 64, 64)",Minesweeper,0.8,0.64,0.8,0.7111,0.7056,34.14429473876953,Success
GCN,"(64, 64, 64, 64, 64, 64, 64, 64, 64, 64)",Tolokers,0.7973,0.7682,0.7973,0.7657,0.7902,86.48910737037659,Success
GCN,"(64, 64, 64, 64, 64, 64, 64, 64, 64, 64)",Questions,0.9702,0.9412,0.9702,0.9555,0.6749,60.769312143325806,Success
GAT,"(64, 64, 64, 64, 64, 64, 64, 64, 64, 64)",Roman-empire,0.6625,0.655,0.6625,0.6494,0.9285,93.918612241745,Success
GAT,"(64, 64, 64, 64, 64, 64, 64, 64, 64, 64)",Amazon-ratings,0.4544,0.4417,0.4544,0.4438,0.706,147.79681515693665,Success
GAT,"(64, 64, 64, 64, 64, 64, 64, 64, 64, 64)",Minesweeper,0.8216,0.8025,0.8216,0.8065,0.8539,71.77410697937012,Success
GCN,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",Roman-empire,0.4109,0.3553,0.4109,0.3461,0.7743,42.524306297302246,Success
GAT,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",Roman-empire,0.5759,0.5615,0.5759,0.5593,0.8978,131.23187232017517,Success
GCN,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",Amazon-ratings,0.4434,0.3783,0.4434,0.4059,0.6692,54.65135979652405,Success
GAT,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",Amazon-ratings,0.4552,0.4374,0.4552,0.4408,0.7027,204.38834500312805,Success
GCN,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",Minesweeper,0.8,0.64,0.8,0.7111,0.6742,33.49860644340515,Success
GAT,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",Minesweeper,0.8048,0.772,0.8048,0.7755,0.7968,94.51665616035461,Success
GCN,"[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]",Tolokers,0.7925,0.7583,0.7925,0.7492,0.7788,129.8108582496643,Success
